country_iso2,admin1_code,admin1_name,admin1_type,admin2_code,admin2_name,admin2_type
GT,01,Guatemala,Departamento,03,San José Pinula,Municipio
GT,01,Guatemala,Departamento,04,San José del Golfo,Municipio
GT,01,Guatemala,Departamento,05,Palencia,Municipio
GT,01,Guatemala,Departamento,06,Chinautla,Municipio
GT,01,Guatemala,Departamento,07,San Pedro Ayampuc,Municipio
GT,01,Guatemala,Departamento,08,Mixco,Municipio
GT,01,Guatemala,Departamento,09,San Pedro Sacatepéquez,Municipio
GT,01,Guatemala,Departamento,10,San Juan Sacatepéquez,Municipio
GT,01,Guatemala,Departamento,11,San Raymundo,Municipio
GT,01,Guatemala,Departamento,12,Chuarrancho,Municipio
GT,01,Guatemala,Departamento,13,Fraijanes,Municipio
GT,01,Guatemala,Departamento,14,Amatitlán,Municipio
GT,01,Guatemala,Departamento,15,Villa Nueva,Municipio
GT,01,Guatemala,Departamento,16,Villa Canales,Municipio
GT,01,Guatemala,Departamento,17,Petapa,Municipio
GT,02,El Progreso,Departamento,01,Guastatoya,Municipio
GT,02,El Progreso,Departamento,02,Morazán,Municipio
GT,02,El Progreso,Departamento,03,San Agustín Acasaguastlán,Municipio
GT,02,El Progreso,Departamento,04,San Cristóbal Acasaguastlán,Municipio
GT,02,El Progreso,Departamento,05,El Jícaro,Municipio
GT,02,El Progreso,Departamento,06,Sansare,Municipio
GT,02,El Progreso,Departamento,07,Sanarate,Municipio
GT,02,El Progreso,Departamento,08,San Antonio la Paz,Municipio
GT,03,Sacatepéquez,Departamento,01,Antigua Guatemala,Municipio
GT,03,Sacatepéquez,Departamento,02,Jocotenango,Municipio
GT,03,Sacatepéquez,Departamento,03,Pastores,Municipio
GT,03,Sacatepéquez,Departamento,04,Sumpango,Municipio
GT,03,Sacatepéquez,Departamento,05,Santo Domingo Xenacoj,Municipio
GT,03,Sacatepéquez,Departamento,06,Santiago Sacatepéquez,Municipio
GT,03,Sacatepéquez,Departamento,07,San Bartolomé Milpas Altas,Municipio
GT,03,Sacatepéquez,Departamento,08,San Lucas Sacatepéquez,Municipio
GT,03,Sacatepéquez,Departamento,09,Santa Lucía Milpas Altas,Municipio
GT,03,Sacatepéquez,Departamento,10,Magdalena Milpas Altas,Municipio
GT,03,Sacatepéquez,Departamento,11,Santa María de Jesús,Municipio
GT,03,Sacatepéquez,Departamento,12,Ciudad Vieja,Municipio
GT,03,Sacatepéquez,Departamento,13,San Miguel Dueñas,Municipio
GT,03,Sacatepéquez,Departamento,14,Alotenango,Municipio
GT,03,Sacatepéquez,Departamento,15,San Antonio Aguas Calientes,Municipio
GT,03,Sacatepéquez,Departamento,16,Santa Catarina Barahona,Municipio
GT,04,Chimaltenango,Departamento,01,Chimaltenango,Municipio
GT,04,Chimaltenango,Departamento,02,San José Poaquil,Municipio
GT,04,Chimaltenango,Departamento,03,San Martín Jilotepeque,Municipio
GT,04,Chimaltenango,Departamento,04,Comalapa,Municipio
GT,04,Chimaltenango,Departamento,05,Santa Apolonia,Municipio
GT,04,Chimaltenango,Departamento,06,Tecpán Guatemala,Municipio
GT,04,Chimaltenango,Departamento,07,Patzún,Municipio
GT,04,Chimaltenango,Departamento,08,Pochuta,Municipio
GT,04,Chimaltenango,Departamento,09,Patzicía,Municipio
GT,04,Chimaltenango,Departamento,10,Santa Cruz Balanyá,Municipio
GT,04,Chimaltenango,Departamento,11,Acatenango,Municipio
GT,04,Chimaltenango,Departamento,12,Yepocapa,Municipio
GT,04,Chimaltenango,Departamento,13,San Andrés Itzapa,Municipio
GT,04,Chimaltenango,Departamento,14,Parramos,Municipio
GT,04,Chimaltenango,Departamento,15,Zaragoza,Municipio
GT,04,Chimaltenango,Departamento,16,El Tejar,Municipio
GT,05,Escuintla,Departamento,01,Escuintla,Municipio
GT,05,Escuintla,Departamento,02,Santa Lucía Cotzumalguapa,Municipio
GT,05,Escuintla,Departamento,03,La Democracia,Municipio
GT,05,Escuintla,Departamento,04,Siquinalá,Municipio
GT,05,Escuintla,Departamento,05,Masagua,Municipio
GT,05,Escuintla,Departamento,06,Tiquisate,Municipio
GT,05,Escuintla,Departamento,07,La Gomera,Municipio
GT,05,Escuintla,Departamento,08,Guanagazapa,Municipio
GT,05,Escuintla,Departamento,09,San José,Municipio
GT,05,Escuintla,Departamento,10,Iztapa,Municipio
GT,05,Escuintla,Departamento,11,Palín,Municipio
GT,05,Escuintla,Departamento,12,San Vicente Pacaya,Municipio
GT,05,Escuintla,Departamento,13,Nueva Concepción,Municipio
GT,06,Santa Rosa,Departamento,01,Cuilapa,Municipio
GT,06,Santa Rosa,Departamento,02,Barberena,Municipio
GT,06,Santa Rosa,Departamento,03,Santa Rosa de Lima,Municipio
GT,06,Santa Rosa,Departamento,04,Casillas,Municipio
GT,06,Santa Rosa,Departamento,05,San Rafael las Flores,Municipio
GT,06,Santa Rosa,Departamento,06,Oratorio,Municipio
GT,06,Santa Rosa,Departamento,07,San Juan Tecuaco,Municipio
GT,06,Santa Rosa,Departamento,08,Chiquimulilla,Municipio
GT,06,Santa Rosa,Departamento,09,Taxisco,Municipio
