Tabla,Columna,Tipo,Nullable,Default
alembic_version,version_num,VARCHAR(32),False,
planes,id,INTEGER,False,nextval('planes_id_seq'::regclass)
planes,nombre,VARCHAR(100),False,
planes,descripcion,VARCHAR(255),True,
planes,max_notarios,INTEGER,False,
planes,max_procuradores,INTEGER,False,
planes,max_asistentes,INTEGER,False,
planes,max_documentos,INTEGER,False,
planes,storage_mb,INTEGER,False,
planes,precio_mensual,DOUBLE PRECISION,False,
planes,es_personalizado,BOOLEAN,True,
planes,activo,BOOLEAN,True,
planes,fecha_creacion,TIMESTAMP,True,
planes,fecha_actualizacion,TIMESTAMP,True,
bufetes_juridicos,id,INTEGER,False,nextval('bufetes_juridicos_id_seq'::regclass)
bufetes_juridicos,nombre_bufete_o_razon_social,VARCHAR(255),False,
bufetes_juridicos,direccion,VARCHAR(255),True,
bufetes_juridicos,telefono,VARCHAR(50),True,
bufetes_juridicos,email,VARCHAR(150),True,
bufetes_juridicos,nit,VARCHAR(50),True,
bufetes_juridicos,pais,VARCHAR(50),True,
bufetes_juridicos,app_copyright,VARCHAR(255),True,
bufetes_juridicos,nombre_aplicacion,VARCHAR(255),True,
bufetes_juridicos,maneja_inventario_timbres_papel,BOOLEAN,False,
bufetes_juridicos,incluye_libreria_plantillas_inicial,BOOLEAN,False,
bufetes_juridicos,habilita_auditoria_borrado_logico,BOOLEAN,False,
bufetes_juridicos,habilita_dashboard_avanzado,BOOLEAN,False,
bufetes_juridicos,habilita_ayuda_contextual,BOOLEAN,False,
bufetes_juridicos,facturacion_nombre,VARCHAR(255),True,
bufetes_juridicos,facturacion_nit,VARCHAR(50),True,
bufetes_juridicos,facturacion_direccion,VARCHAR(255),True,
bufetes_juridicos,formas_pago,VARCHAR(150),True,
bufetes_juridicos,metodo_pago_preferido,VARCHAR(50),True,
bufetes_juridicos,activo,BOOLEAN,True,
bufetes_juridicos,fecha_creacion,TIMESTAMP,True,
bufetes_juridicos,plan_id,INTEGER,True,
cuenta_corriente,id,INTEGER,False,nextval('cuenta_corriente_id_seq'::regclass)
cuenta_corriente,bufete_id,INTEGER,True,
cuenta_corriente,fecha,DATE,True,
cuenta_corriente,descripcion,VARCHAR(200),False,
cuenta_corriente,monto,DOUBLE PRECISION,False,
pagos_bufete,id,INTEGER,False,nextval('pagos_bufete_id_seq'::regclass)
pagos_bufete,bufete_id,INTEGER,True,
pagos_bufete,monto_pagado,DOUBLE PRECISION,False,
pagos_bufete,fecha_pago,DATE,True,
pagos_bufete,forma_pago,VARCHAR(8),False,
pagos_bufete,detalle,VARCHAR(250),True,
usuarios,id,INTEGER,False,nextval('usuarios_id_seq'::regclass)
usuarios,username,VARCHAR(150),False,
usuarios,correo,VARCHAR(150),True,
usuarios,password_hash,VARCHAR(255),False,
usuarios,rol,VARCHAR(13),False,
usuarios,estado,VARCHAR(10),True,
usuarios,nombres,VARCHAR(100),True,
usuarios,apellidos,VARCHAR(100),True,
usuarios,telefono,VARCHAR(20),True,
usuarios,direccion_laboral,VARCHAR(255),True,
usuarios,preferencia_contacto_red_social,VARCHAR(100),True,
usuarios,bufete_id,INTEGER,True,
usuarios,borrado_logico,BOOLEAN,True,
asistentes,id,INTEGER,False,
notario_procurador_asociacion,id,INTEGER,False,nextval('notario_procurador_asociacion_id_seq'::regclass)
notario_procurador_asociacion,notario_id,INTEGER,False,
notario_procurador_asociacion,procurador_id,INTEGER,False,
notario_procurador_asociacion,bufete_id,INTEGER,False,
notario_procurador_asociacion,fecha_asignacion,TIMESTAMP,True,
notario_procurador_asociacion,fecha_reasignacion,TIMESTAMP,True,
notario_procurador_asociacion,motivo_reasignacion,VARCHAR(255),True,
notario_procurador_asociacion,activo,BOOLEAN,True,
notarios,id,INTEGER,False,
notarios,numero_colegiado,VARCHAR(20),False,
notarios,colegiado_activo,BOOLEAN,False,
notarios,fecha_verificacion,TIMESTAMP,True,
notarios,firma_electronica_registrada,BOOLEAN,True,
notarios,proveedor_firma_electronica,VARCHAR(100),True,
procuradores,id,INTEGER,False,
documentos_notariales,id,INTEGER,False,nextval('documentos_notariales_id_seq'::regclass)
documentos_notariales,tipo_documento,VARCHAR(17),False,
documentos_notariales,numero_instrumento,INTEGER,False,
documentos_notariales,fecha_otorgamiento,DATE,False,
documentos_notariales,hora_otorgamiento,TIME,True,
documentos_notariales,lugar_otorgamiento,VARCHAR(200),True,
documentos_notariales,estado_documento,VARCHAR(11),False,
documentos_notariales,notario_id,INTEGER,True,
documentos_notariales,procurador_id,INTEGER,True,
documentos_notariales,bufete_id,INTEGER,True,
documentos_notariales,activo,BOOLEAN,True,
documentos_notariales,fecha_creacion,TIMESTAMP,True,
documentos_notariales,fecha_actualizacion,TIMESTAMP,True,
notario_asistente,id,INTEGER,False,nextval('notario_asistente_id_seq'::regclass)
notario_asistente,notario_id,INTEGER,True,
notario_asistente,asistente_id,INTEGER,True,
notario_procurador,id,INTEGER,False,nextval('notario_procurador_id_seq'::regclass)
notario_procurador,notario_id,INTEGER,True,
notario_procurador,procurador_id,INTEGER,True,
